day,licor,id,Photo,Ci,Tleaf,PARi
1,anderegg,H2-1,24.37677817,472.308595,26.0259,2000.000714
1,anderegg,H2-1,24.70329793,483.6402197,26.01914286,1999.988571
1,anderegg,H2-1,24.85392516,500.3396124,26.011375,1999.976786
1,anderegg,H2-1,25.25162391,512.1051132,26.00656786,1999.986786
1,anderegg,H2-1,25.75481613,527.7408486,26.00130714,1999.995357
1,anderegg,H2-1,25.76853775,545.3480026,26.00328929,1999.978571
1,anderegg,H2-1,26.01539688,559.0565829,26.01471786,1999.954643
1,anderegg,H2-1,26.30322403,572.6884423,26.03050741,1999.959259
1,anderegg,H2-1,26.53426877,585.5113029,26.04686667,1999.948148
1,anderegg,H2-1,26.59285731,599.0615804,26.06278571,1999.957143
1,anderegg,H2-1,26.89520168,614.225825,26.07584074,1999.987407
1,anderegg,H2-1,27.10108046,627.0042981,26.08181111,2000.01037
1,anderegg,H2-1,27.19255178,640.9999876,26.07798571,2000.025357
1,anderegg,H2-1,27.42444958,656.3216613,26.07385926,2000.02
1,anderegg,H2-1,27.38228067,671.8117129,26.06999643,2000
1,anderegg,H2-1,27.51044754,686.5761566,26.06838889,1999.983704
1,anderegg,H2-1,27.73066103,702.1681801,26.06717857,1999.986786
1,anderegg,H2-1,27.82086328,716.8801444,26.06397143,1999.983571
1,anderegg,H2-1,27.84062089,733.5178227,26.05816296,1999.995185
1,anderegg,H2-1,27.64486821,749.7376265,26.04634643,1999.985
1,anderegg,H2-1,27.80264968,766.1272745,26.03072963,2000.01
1,anderegg,H2-1,27.84981149,780.5376702,26.00796429,2000.0275
1,anderegg,H2-1,27.85829911,798.2302578,25.9817963,2000.04037
1,anderegg,H2-1,27.93082218,816.7633985,25.95820357,2000.029286
1,anderegg,H2-1,27.74178767,835.9522713,25.94228519,2000.003704
1,anderegg,H2-1,28.01766612,848.2675623,25.94261786,1999.987143
1,anderegg,H2-1,27.90558175,865.5672261,25.94983333,1999.971481
1,anderegg,H2-1,27.92264137,880.2757835,25.95749643,1999.978929
1,anderegg,H2-1,27.95684854,896.6309497,25.96008889,1999.986667
1,anderegg,H2-1,27.79614457,912.0533803,25.96411071,2000.005714
1,anderegg,H2-1,28.14828969,926.0935683,25.97015926,1999.990741
1,anderegg,H2-1,28.1274463,941.5916004,25.97676429,1999.972857
1,anderegg,H2-1,27.92108022,960.5559855,25.98266296,1999.984815
1,anderegg,H2-1,28.00254944,973.5742287,25.9854,2000.011071
1,anderegg,H2-1,28.02242493,990.620543,25.97945926,2000.027037
1,anderegg,H2-1,28.01338335,1007.136095,25.96541429,2000.027143
1,anderegg,H2-1,28.00027655,1026.030755,25.94642857,2000.008571
1,anderegg,H2-1,28.01455359,1041.327329,25.93796786,1999.988214
1,anderegg,H2-1,27.8766689,1057.117577,25.93393571,1999.988214
1,anderegg,H2-1,28.08677632,1071.987113,25.92845,2000.006786
1,anderegg,H2-1,28.48589772,1085.588962,25.90892963,2000.043704
1,anderegg,H2-1,28.44963735,1101.604242,25.88240714,2000.032857
1,anderegg,H2-1,27.92798648,1121.748305,25.85527037,2000.001111
1,anderegg,H2-1,28.20257793,1136.081035,25.84521429,1999.9775
1,anderegg,H2-1,27.97342795,1155.544344,25.84815185,1999.963704
1,anderegg,H2-1,28.24300334,1168.114366,25.86125714,1999.972143
1,anderegg,H2-1,28.22383437,1185.289108,25.88175556,1999.993704
1,anderegg,H2-1,28.34514783,1198.918798,25.89720357,1999.9925
1,anderegg,H2-1,28.30012613,1217.373286,25.91291852,1999.985556
1,anderegg,H2-1,28.35373602,1232.014535,25.92976071,1999.962143
1,anderegg,H2-1,28.42729847,1247.668693,25.95363333,1999.961481
1,anderegg,H3-1,12.82256805,282.7612144,25.90268667,1999.997333
1,anderegg,H3-1,12.97744881,281.5278118,25.92326207,1999.996552
1,anderegg,H3-1,13.32854767,277.8728119,25.94446786,2000.012857
1,anderegg,H3-1,13.27967011,275.3200435,25.95835185,1999.975185
1,anderegg,H3-1,13.28448122,268.6340445,25.96766071,1999.9975
1,anderegg,H3-1,12.83800796,261.7028427,25.97293333,2000.012222
1,anderegg,H3-1,12.40387121,253.7282902,25.97964286,2000.013214
1,anderegg,H3-1,11.75255745,243.5794138,25.98696296,1999.986296
1,anderegg,H3-1,11.29053907,233.1361025,25.99016429,1999.966429
1,anderegg,H3-1,10.80662222,221.2963895,25.98524815,1999.98
1,anderegg,H3-1,9.996858016,214.0965705,25.97479643,2000.015714
1,anderegg,H3-1,9.490995235,201.5429024,25.95370714,1999.994286
1,anderegg,H3-1,8.991000548,193.1932915,25.92853571,1999.998571
1,anderegg,H3-1,8.417180809,181.5088359,25.89662593,1999.961481
1,anderegg,H3-1,7.841646914,171.9844163,25.87255714,2000.003929
1,anderegg,H3-1,7.143851671,162.1898856,25.85567407,2000.003333
1,anderegg,H3-1,6.58489636,152.4487287,25.85386429,2000.002143
1,anderegg,H3-1,5.88599152,141.6828152,25.86438214,1999.976786
1,anderegg,H3-1,5.419893098,132.6670127,25.87758929,1999.967857
1,anderegg,H3-1,4.695003931,122.3151678,25.89776667,1999.98037
